distances,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday
open to high,0.0037574025974025935,0.003959188311688306,0.004186806451612913,0.003679967532467536,0.0,,0.0035004560260586334
open to low,0.0036333116883116886,0.0038016233766233667,0.004176258064516127,0.004037597402597402,0.0,,0.003170260586319212
